"Document Name","File size (bytes)","Processing seconds","Pre CPU utilization(%)","Post CPU utilization(%)","Pre Memory utilization(%)","Post Memory utilization(%)","Pre Memory usage(MB)","Post Memory usage(MB)","Pre Load average","Post Load average"
"031.ppt",27044864,"5.24",0,1,40.46,40.46,386.89,386.84,"0.87,0.36,0.18","0.88,0.37,0.18"
"032.pptx",9876180,"4.18",2.03,0.5,40.42,40.21,386.51,384.46,"0.88,0.37,0.18","0.89,0.38,0.19"
"033.ppt",4958208,"3.58",0,0.5,40.04,40.27,382.87,385.05,"0.89,0.38,0.19","0.9,0.39,0.19"
"034.pptx",862288,"6.74",0,0.5,40.14,39.85,383.77,381.06,"0.9,0.39,0.19","0.92,0.41,0.2"
"035.ppt",14909440,"5.23",0.5,1.49,39.69,39.95,379.48,381.95,"0.92,0.41,0.2","0.92,0.42,0.21"
"036.pptx",14437343,"6.65",1,1.49,39.77,39.53,380.24,377.98,"0.92,0.42,0.21","0.93,0.43,0.21"
"037.ppt",5645312,"3.94",0.5,0,39.36,39.32,376.31,375.98,"0.85,0.42,0.21","0.85,0.42,0.21"
"038.pptx",3502401,"4.69",0.5,0,39.37,39.66,376.42,379.24,"0.79,0.42,0.21","0.72,0.41,0.21"
"039.ppt",2022912,"2.82",0.5,1,39.67,39.9,379.28,381.56,"0.72,0.41,0.21","0.72,0.41,0.21"
"040.pptx",218329,"5.75",0,1,39.76,39.97,380.21,382.17,"0.66,0.4,0.2","0.69,0.41,0.21"
"041.ppt",10981376,"8.4",0.5,0.5,39.9,39.78,381.52,380.35,"0.69,0.41,0.21","0.66,0.42,0.21"
"042.pptx",5653398,"8.99",0.5,1,39.66,37.63,379.19,359.83,"0.66,0.42,0.21","0.63,0.42,0.21"
"043.ppt",13717504,"4.98",0,0,37.65,37.64,360.03,359.93,"0.63,0.42,0.21","0.66,0.43,0.22"
"044.pptx",6537516,"4.75",1,0.5,37.67,37.77,360.2,361.14,"0.66,0.43,0.22","0.69,0.44,0.22"
"045.ppt",11340800,"6.86",0.5,1,37.64,37.61,359.94,359.66,"0.69,0.44,0.22","0.66,0.44,0.23"
"046.pptx",3242157,"82.92",0.5,1,37.7,37.14,360.51,355.12,"0.66,0.44,0.23","0.91,0.57,0.29"
"047.ppt",770560,"2.97",0.5,0,37.03,37.2,354.06,355.69,"0.91,0.57,0.29","0.84,0.56,0.29"
"048.pptx",367343,"3.84",0.5,0,37.09,37.34,354.61,357.04,"0.84,0.56,0.29","0.93,0.59,0.3"
"049.ppt",27581952,"6.06",1,0.5,37.23,36.16,355.95,345.79,"0.93,0.59,0.3","0.94,0.6,0.31"
"050.pptx",14066161,"7.5",0.99,1.49,36.07,33.89,344.89,324.03,"0.94,0.6,0.31","1.03,0.63,0.32"
"051.ppt",3819008,"4.18",0.5,0,33.75,33.91,322.68,324.21,"1.03,0.63,0.32","1.35,0.7,0.34"
